Ticks;  Losing Team; Number of Drones Left Alive; Winning Drone Num; Losing Drone Num
195, Blue, 18, Fire Teams, Stutter Step
236, Blue, 22, Fire Teams, Stutter Step
225, Red, 27, Fire Teams, Stutter Step
207, Red, 30, Fire Teams, Stutter Step
147, Blue, 20, Stutter Step, Fire Teams
168, Red, 14, Fire Teams, Stutter Step
198, Blue, 11, Brain Swarm, Fire Teams
180, Red, 17, Brain Swarm, Fire Teams
203, Red, 14, Brain Swarm, Fire Teams
154, Blue, 8, Fire Teams, Fire Teams
139, Blue, 23, Fire Teams, Fire Teams
156, Blue, 9, Fire Teams, Fire Teams
155, Blue, 9, Fire Teams, Fire Teams
156, Red, 6, Fire Teams, Fire Teams
